Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"Palace Guard (Gottlieb 1968)",Gottlieb,1968,"World Places, Historical",1,1737,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",2.0.0f,2022-02-12
"Pantera (Original 2020)",Original,2020,"Music, Heavy Metal",4,-,-,SS,VPX,"Pedro Peres, Team Tuga, Joe Picasso, TerryRed, Joey Beaulieu (Joe Picasso), Mark Tunstill, Ray Pritchard, Andrew Walsh (Awalsh053), Team PP, Bigus1, JPSalas, Nailbuster",1.0.0,2022-03-28
"Panthera (Gottlieb 1980)",Gottlieb,1980,"Fantasy",4,1745,-,SS,VPX,"JPSalas",4.0.1,2022-10-25
"Panthera (Gottlieb 1980)",Gottlieb,1980,"Fantasy",4,1745,-,SS,VPX,"Rajo Joey, Rawd, Rascal, Sixtoe, JPSalas",1.0.0,2021-10-03
"Panthera (Gottlieb 1980)",Gottlieb,1980,"Fantasy",4,1745,-,SS,VPX,"Arconovum, JPSalas",1.0.1-2.5,2023-06-25
"Paragon (Bally 1979)",Bally,1979,"Fantasy",4,1755,-,SS,VPX,"Bord, Iaakki, Rothbauerw, TastyWasps, Rajo Joey, Redbone",2.5,2024-01-06
"Paragon (Bally 1979)",Bally,1979,"Fantasy",4,1755,-,SS,VPX,"Mustang1961, Bord",1.0a,2023-01-27
"Paragon (Bally 1979)",Bally,1979,"Fantasy",4,1755,-,SS,VPX,"Rajo Joey, Sixtoe, Rawd, Bord",1.1.0,2022-03-19
"Paragon (Bally 1979)",Bally,1979,"Fantasy",4,1755,-,SS,VPX,"Arconovum, Bord",1.0-2.5,2023-06-25
"Paragon (Bally 1979)",Bally,1979,"Fantasy",4,1755,-,SS,VPX,"Bord",1.0,2022-03-19
"Paranormal (Zen Studios 2013)",Zen Studios,2013,"Science Fiction",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
"Party Animal (Bally 1987)",Bally,1987,"Happiness, Celebration",4,1763,-,SS,VPX,"Armyaviation",1.0,2021-04-02
"Partyland (Digital Illusions 1992)",Digital Illusions,1992,"Happiness, Celebration, Video Game",-,-,-,-,FP,"Light66, SlipperyPenguin",1.51,2023-08-04
"Pasha (Zen Studios 2010)",Zen Studios,2010,"Fantasy",4,-,-,-,FX,"Zen Studios",-,2022-04-02
"Pasha (Zen Studios 2010)",Zen Studios,2010,"Fantasy",4,-,-,-,FX3,"Zen Studios",-,2000-01-01
