Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Halloween 1978-1981 (Original 2022),Original,2022,"Horror, Movie",-,-,-,SS,VPX,"Ahr1man, HiRez00, Apophis",1.03,2022-11-30,Halloween 1978-1981
Halloween Michael Myers Pinball Adventures (Original 2018),Original,2018,"Movie, Horror",-,-,-,SS,VPX,"Ivantba, ScottyWic, Stefanaustria (STAT), TerryRed",1.3,2018-12-06,Halloween Michael Myers Pinball Adventures
Hannibal Lecter (Original 2022),Original,2022,"Movie, TV Show, Horror",-,-,-,SS,VPX,"VP_Cooks, JPSalas",1.0.0,2022-10-26,Hannibal Lecter
Hellraiser (Original 2022),Original,2022,"Licensed, Horror, Supernatural",-,-,-,SS,VPX,"Balutito, Team Tuga, Dave Sousa, Iaakki, JPSalas",1.2,2023-11-03,Hellraiser
Horrorburg (Original 2023),Original,2023,Horror,-,-,-,-,VPX,"JPSalas, Outhere",1.0.3,2023-10-23,Horrorburg
It Pinball Madness  (Original 2022),Original,2022,"Horror, Movie",-,-,-,SS,VPX,"JPSalas, Joe Picasso",4.3.0,2023-10-26,It Pinball Madness
JP's Friday the 13th (Original 2021),Original,2021,"Horror, Movie",-,-,-,SS,VPX,"Pedro Pires, Joey Beaulieu (Joe Picasso), JPSalas, Godisnothere, Chucky, Springjack, Mrjcrane, Arngrim, Senseless",4.0.0,2023-10-10,JP's Friday the 13th
JP's Mephisto (Cirsa 1987),Cirsa,1987,"Supernatural, Horror",4,4077,-,SS,VPX,"JPSalas, Joshua, Berk104, Leonard",4.3.0,2023-10-26,JP's Mephisto
Jaws (Original 2018),Original,2018,"Movie, Horror",-,-,-,SS,FP,"TerryRed, SLAMT1LT, rom, Schlabber34, Fleep, JLou",1.5,2023-12-09,Jaws
John Carpenter's Christine (Original 2019),Original,2019,"Horror, Movie",4,-,-,SS,VPX,"Ivantba, BorgDog",1.0,2020-10-31,John Carpenter's Christine
John Carpenter's The Thing (Original 2019),Original,2019,"Movie, Horror",4,-,-,SS,VPX,"Gman77, Balutito, Jagandy82, Growat, Cliffy",1.0.0,2023-07-18,John Carpenter's The Thing
Killer Klowns (Original 2023),Original,2023,"Movie, Horror",-,-,-,SS,VPX,"Gman77, Balutito, Herweh",1.0.0,2023-07-19,Killer Klowns
Killers Hall of Fame (Original 2023),Original,2023,Horror,-,-,-,-,VPX,"Capnclaw, JPSalas, Smaug",1.0.0,2023-09-16,Killers Hall of Fame
Mary Shelley's Frankenstein (Sega 1995),Sega,1995,"Fictional, Horror",4,947,-,SS,VPX,"Schlabber34, Schreibi34, Herweh, Dark, Dids666, Sheltemke, Mlager8, Mark70, Thalamus, Skitso, Csilk, Batch, Bord, Rothbauerw",1.2.2,2022-05-08,Mary Shelley's Frankenstein
