Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Metallica (Stern 2013),Stern,2013,"Licensed Theme, Music, Heavy Metal",4,6026,-,SS,VPX,"VPin Workshop (VPW), Flupper, Fleep, nFozzy, Benji, Tomate, Rik Laubach, Freneticamnesic, Byancey, Dark, Peter Docker, Oqqsan, Thal, Ashleyb, Colvert, kalman, Kamun, Liveevil, PinstratsDan, VincentWRX, Iaakki, Sixtoe, EBisLit, Apophis, HauntFreaks, SliderPoint, Rothbauerw",1.1,2022-12-31,Metallica
Metallica - Master of Puppets (Original 2020),Original,2020,"Music, Heavy Metal",4,6030,-,SS,VPX,"Pedro Peres, Freneticamnesic, Movieguru",2.0.0,2022-04-21,Metallica - Master of Puppets
Michael Jackson (Original 2020),Original,2020,Music,4,-,-,SS,VPX,"Marty02, JPSalas",3.1,2021-12-24,Michael Jackson
Misfits (Original 2019),Original,2019,Music,4,-,-,SS,VPX,"Kenji, Siggi",1.0,2019-10-06,Misfits
Motley Crue (Original 2017),Original,2017,"Music, Heavy Metal",-,-,-,SS,VPX,Mofstedahl,1.0,2017-02-25,Motley Crue
Motorhead (Original 2018),Original,2018,"Music, Heavy Metal",4,-,-,SS,VPX,"Flupper, Thalamus, Xenonph, Wizball, R_DuB, Herweh, Kiwi, Fuzzel, Batch, 32assassin",1.2,2020-06-16,Motorhead
New Wave (Bell Games 1985),Bell Games,1985,Music,4,3482,-,SS,VPX,"Scotty VH, Cyberpez, Thalamus, JPSalas",0.72,2019-10-31,New Wave
Nine Inch Nails (Original 2023),Original,2023,"Music, Heavy Metal",-,-,-,EM,VPX,"Darthwhat, Team Tuga, JPSalas, Pedroperes02",1.1.0,2023-12-07,Nine Inch Nails
Nirvana (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Darthwhat, Destruk, Hawkeyez88, Goldchicco",1.0.0,2021-09-17,Nirvana
Nugent (Stern 1978),Stern,1978,"Celebrities, Music",4,1687,-,SS,VPX,"Wed21, Flupper, nFozzy, Inkochnito, GTXJoe, Allknowing2012, 32assassin, HauntFreaks",2.2,2024-01-09,Nugent
