Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Blade Runner 2049 (Original 2020),Original,2020,"Science Fiction, Movie",-,-,-,SS,VPX,"Ahr1man, Mark Paulik (WPilot), Rawd, Studlygoorite, Solters, Rajo Joey, Sixtoe, JPSalas",2.0,2023-06-12,Blade Runner 2049
Blaze And The Monster Machines (Original 2021),Original,2021,"TV Show, Kids",4,-,-,SS,VPX,"Buffalo Pin Bro, Hawkeyez88, RetroG33k, Goldchicco",1.2,2022-05-13,Blaze And The Monster Machines
Bleach (Original 2023),Original,2023,Anime,-,-,-,SS,VPX,"Masonou, Akirasan, PEAandS1Ws, JPSalas",1.0.0,2023-11-26,Bleach
Blood Machines (Original 2022),Original,2022,Movie,-,-,-,SS,VPX,"VPin Workshop (VPW), Dapheni, Flupper, AstroNasty, Tomate, Flupper, D.j., Oqqsan, Wylte, Limigado, Fluffhead35, eMBee, Rik, PinstratsDan, Seth Ickerman, Carpenter Brut, Circusfreak, Leojreimroc, GTXJoe, Iaakki, Sixtoe, Apophis",2.0,2023-03-08,Blood Machines
Bloodsport (Original 2023),Original,2023,Martial Arts,-,-,-,SS,VPX,"Balutito, Goldchicco, Apophis, Walamab, Iarouillas",1.2,2023-10-18,Bloodsport
Blue vs Pink (Original 2009),Original,2009,-,1,-,-,SS,FP,"TerryRed, Brendan Bailey (Pinwizkid), Schlabber34, Fleep, JLou, Ravarcade, Chris Leathley, Nailbuster",1.9,2023-12-09,Blue vs Pink
Blues Brothers 40th Anniversary (Original 2020),Original,2020,Music,4,-,-,SS,VPX,"Marty02, JPSalas",2.0,2020-09-18,Blues Brothers 40th Anniversary
Bluey (Original 2021),Original,2021,"Cartoon, Kids",4,-,-,EM,VPX,"Phenom, Dvs626, Pinballfan2018, JPSalas, Goldchicco",1.0,2023-06-05,Bluey
Bonanza Edition (Original 2022),Original,2022,"American West, TV Show",-,-,-,SS,VPX,"Icepinball, Xenonph, CryptDoctor21, 32assassin",1.0.0,2022-06-13,Bonanza Edition
Bond 50th (Original 2013),Original,2013,"Movie, Espionage",-,-,-,-,-,SLAMT1LT,1.0,2023-09-15,Bond 50th
